"","lgaNameClean"
"1","City of Canada Bay"
"2","City of Lithgow"
"3","City Of Parramatta"
"4","City of Parramatta"
"5","Council of the City of Sydney"
"6","Greater Hume"
"7","LAKE MACQUARIE CITY COUNCIL"
"8","Lane Cove Municipal"
"9","Mosman Municipal"
"10","Nambucca"
"11","NULL"
"12","Strathfield Municipal"
"13","Sutherland"
"14","The of the Municipality of Hunters Hill"
"15","The of the Municipality of Kiama"
"16","The of the Shire of Hornsby"
"17","The Hills"
"18","Unincorporated Far West"
"19","Upper Hunter"
"20","Upper Lachlan"
"21","Warrumbungle"
"22","Woollahra Municipal"
